neighbourhood,host_since,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,log_price,location_cluster
Parkside,2022-12-04,3,1,Private room in home,Private room,2,1,95.0,4.564348191467836,2
Parkside,2022-12-04,3,1,Private room in home,Private room,4,2,116.0,4.762173934797756,2
Castro/Upper Market,2020-09-05,1,1,Entire rental unit,Entire home/apt,4,3,275.0,5.62040086571715,1
Noe Valley,2014-04-23,1,1,Entire home,Entire home/apt,5,5,320.0,5.771441123130016,3
Marina,2015-01-10,1,1,Entire rental unit,Entire home/apt,3,1,160.0,5.081404364984463,0
Bayview,2023-01-29,1,1,Entire guest suite,Entire home/apt,4,2,141.0,4.955827057601261,3
Western Addition,2012-09-26,1,1,Private room in rental unit,Private room,2,1,200.0,5.303304908059076,1
West of Twin Peaks,2014-06-03,1,1,Entire home,Entire home/apt,6,3,515.0,6.246106765481563,4
Ocean View,2015-06-17,2,1,Private room in home,Private room,2,1,74.0,4.31748811353631,4
Nob Hill,2019-05-22,7,1,Entire rental unit,Entire home/apt,2,1,153.0,5.0369526024136295,0
Pacific Heights,2015-10-05,1,1,Entire rental unit,Entire home/apt,2,1,298.0,5.700443573390687,0
Noe Valley,2015-10-01,1,1,Entire rental unit,Entire home/apt,2,1,207.0,5.337538079701318,3
Mission,2020-11-13,20,1,Private room in home,Private room,1,1,52.0,3.970291913552122,1
Haight Ashbury,2018-07-17,1,1,Entire home,Entire home/apt,6,4,435.0,6.077642243349034,1
Marina,2021-06-15,9,1,Room in hotel,Private room,6,6,252.0,5.53338948872752,0
Crocker Amazon,2023-01-31,1,1,Private room in guesthouse,Private room,5,4,148.0,5.003946305945459,4
South of Market,2012-12-20,1,1,Entire rental unit,Entire home/apt,2,1,110.0,4.709530201312334,0
Bayview,2018-10-25,7,1,Private room in home,Private room,2,1,94.0,4.553876891600541,3
Noe Valley,2013-12-04,1,1,Entire condo,Entire home/apt,5,3,520.0,6.255750041753367,3
Bayview,2018-10-25,7,1,Private room in home,Private room,2,1,104.0,4.653960350157523,3
Bayview,2018-10-25,7,1,Private room in home,Private room,2,1,87.0,4.477336814478207,3
Western Addition,2022-11-07,29,1,Room in hotel,Private room,2,1,102.0,4.634728988229636,0
South of Market,2013-11-05,1,1,Entire rental unit,Entire home/apt,3,1,153.0,5.0369526024136295,0
Excelsior,2018-11-19,14,1,Private room in home,Private room,2,1,60.0,4.110873864173311,3
Castro/Upper Market,2023-02-03,1,0,Entire rental unit,Entire home/apt,3,1,220.0,5.3981627015177525,1
Downtown/Civic Center,2023-02-02,1,0,Private room in rental unit,Private room,1,1,130.0,4.875197323201151,0
Bernal Heights,2013-12-04,1,1,Private room in home,Private room,3,2,113.0,4.736198448394496,3
Presidio Heights,2013-01-24,2,1,Entire rental unit,Entire home/apt,2,1,375.0,5.929589143389895,1
Pacific Heights,2015-05-08,2,1,Entire condo,Entire home/apt,6,3,650.0,6.478509642208569,0
Nob Hill,2014-11-13,28,1,Entire rental unit,Entire home/apt,2,1,200.0,5.303304908059076,0
Nob Hill,2023-02-04,1,1,Entire rental unit,Entire home/apt,5,3,184.0,5.220355825078324,0
Outer Richmond,2018-05-12,2,1,Private room in condo,Private room,1,5,55.0,4.02535169073515,2
Downtown/Civic Center,2012-04-20,1,1,Entire rental unit,Entire home/apt,2,1,100.0,4.61512051684126,0
South of Market,2013-12-23,3,1,Private room in condo,Private room,6,3,459.0,6.131226489483141,0
Western Addition,2018-08-25,1,1,Entire condo,Entire home/apt,5,2,450.0,6.111467339502679,1
Downtown/Civic Center,2019-11-15,4,1,Room in hotel,Private room,2,1,116.0,4.762173934797756,1
Mission,2023-02-07,1,1,Entire guest suite,Entire home/apt,3,2,180.0,5.198497031265826,3
Noe Valley,2017-05-14,3,1,Entire home,Entire home/apt,6,3,280.0,5.638354669333745,4
Western Addition,2012-04-03,17,1,Entire rental unit,Entire home/apt,9,7,680.0,6.523562306149512,1
Western Addition,2021-08-25,10,1,Private room in home,Private room,1,1,52.0,3.970291913552122,1
Noe Valley,2011-07-04,2,1,Entire rental unit,Entire home/apt,4,4,176.0,5.176149732573829,1
Outer Mission,2016-04-21,1,1,Entire home,Entire home/apt,4,3,227.0,5.429345628954441,4
Crocker Amazon,2016-12-12,2,1,Entire home,Entire home/apt,4,2,226.0,5.424950017481403,4
Outer Mission,2012-06-24,1,1,Entire home,Entire home/apt,5,3,208.0,5.342334251964811,4
Mission,2011-05-23,1,1,Entire rental unit,Entire home/apt,2,1,280.0,5.638354669333745,1
Bernal Heights,2020-04-20,1,1,Entire rental unit,Entire home/apt,4,2,125.0,4.836281906951478,3
Noe Valley,2015-09-29,1,0,Entire home,Entire home/apt,7,5,600.0,6.398594934535208,1
Western Addition,2015-06-22,2,1,Private room in condo,Private room,1,1,39.0,3.6888794541139363,1
Visitacion Valley,2016-09-15,5,0,Entire home,Entire home/apt,8,4,238.0,5.476463551931511,3
Mission,2014-06-14,2,1,Entire rental unit,Entire home/apt,6,3,517.0,6.249975242259483,1
Russian Hill,2018-09-30,7,0,Entire rental unit,Entire home/apt,6,2,1300.0,7.170888478512505,0
Parkside,2012-05-30,2,1,Entire home,Entire home/apt,6,2,550.0,6.311734809152915,2
Mission,2015-05-12,1,1,Entire home,Entire home/apt,8,8,975.0,6.883462586413092,1
Downtown/Civic Center,2018-10-10,20,1,Room in boutique hotel,Private room,2,0,161.0,5.087596335232384,0
Downtown/Civic Center,2018-10-10,20,1,Room in boutique hotel,Private room,2,1,148.0,5.003946305945459,0
Downtown/Civic Center,2018-10-10,20,1,Room in boutique hotel,Private room,4,0,148.0,5.003946305945459,0
South of Market,2018-10-10,20,1,Room in boutique hotel,Private room,2,1,157.0,5.062595033026967,0
Downtown/Civic Center,2018-10-10,20,1,Room in boutique hotel,Private room,2,1,144.0,4.976733742420574,0
Downtown/Civic Center,2018-10-10,20,1,Room in boutique hotel,Private room,4,2,159.0,5.075173815233827,0
Downtown/Civic Center,2023-02-15,1,1,Entire serviced apartment,Entire home/apt,4,3,196.0,5.2832037287379885,0
Parkside,2017-02-05,1,1,Private room in guesthouse,Private room,2,1,60.0,4.110873864173311,2
Haight Ashbury,2009-06-17,14,1,Private room in rental unit,Private room,1,1,55.0,4.02535169073515,1
Ocean View,2016-06-24,9,1,Private room in home,Private room,1,1,31.0,3.4657359027997265,4
Pacific Heights,2014-05-21,4,1,Entire rental unit,Entire home/apt,6,3,850.0,6.7464121285733745,1
Mission,2023-02-17,5,1,Private room in home,Private room,2,1,103.0,4.6443908991413725,1
Mission,2023-02-17,5,1,Private room in home,Private room,2,1,121.0,4.804021044733257,1
Bayview,2019-06-27,2,1,Entire guest suite,Entire home/apt,2,1,188.0,5.241747015059643,3
South of Market,2016-11-15,15,1,Private room in serviced apartment,Private room,2,1,103.0,4.6443908991413725,0
Mission,2023-02-17,5,1,Private room in home,Private room,2,1,111.0,4.718498871295094,1
Ocean View,2022-06-19,2,1,Entire home,Entire home/apt,6,3,220.0,5.3981627015177525,4
