neighbourhood,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,host_duration_days,log_price,location_cluster
Noe Valley,1,1,Entire condo,Entire home/apt,6,4,280.0,2986,5.638354669333745,1
Castro/Upper Market,1,1,Entire home,Entire home/apt,2,1,139.0,3074,4.941642422609304,1
Outer Richmond,2,1,Entire rental unit,Entire home/apt,2,1,110.0,5133,4.709530201312334,2
Mission,154,1,Entire rental unit,Entire home/apt,2,1,88.0,4000,4.48863636973214,1
Mission,154,1,Entire rental unit,Entire home/apt,2,1,88.0,4000,4.48863636973214,3
Outer Sunset,1,1,Entire rental unit,Entire home/apt,7,4,243.0,1605,5.497168225293202,2
Chinatown,46,1,Entire serviced apartment,Entire home/apt,3,2,65.0,2764,4.189654742026425,0
North Beach,1,1,Entire condo,Entire home/apt,3,4,128.0,3735,4.859812404361672,0
Downtown/Civic Center,9,1,Room in hotel,Private room,2,1,180.0,1641,5.198497031265826,0
Downtown/Civic Center,9,1,Private room in resort,Private room,4,2,184.0,1641,5.220355825078324,0
Downtown/Civic Center,9,1,Private room in resort,Private room,4,2,184.0,1641,5.220355825078324,0
Downtown/Civic Center,9,1,Private room in resort,Private room,4,2,184.0,1641,5.220355825078324,0
Russian Hill,9,1,Room in hotel,Private room,4,2,206.0,1641,5.332718793265369,0
Castro/Upper Market,1,1,Entire rental unit,Entire home/apt,4,2,268.0,4218,5.594711379601839,1
Mission,154,1,Entire rental unit,Entire home/apt,2,1,88.0,4000,4.48863636973214,1
South of Market,138,1,Entire rental unit,Entire home/apt,4,2,231.0,2540,5.44673737166631,0
Mission,154,1,Entire rental unit,Entire home/apt,3,1,103.0,4000,4.6443908991413725,1
Financial District,2,1,Entire condo,Entire home/apt,1,1,160.0,1674,5.081404364984463,0
Downtown/Civic Center,154,1,Entire rental unit,Entire home/apt,2,1,83.0,4000,4.430816798843313,0
Bernal Heights,6,1,Private room in home,Private room,2,0,100.0,4269,4.61512051684126,3
Outer Sunset,1,1,Entire home,Entire home/apt,7,6,700.0,3066,6.55250788703459,2
Bernal Heights,2,1,Private room in home,Private room,2,1,100.0,1601,4.61512051684126,3
Bernal Heights,2,1,Private room in home,Private room,2,2,130.0,1601,4.875197323201151,3
Mission,1,1,Private room in rental unit,Private room,2,1,90.0,2909,4.51085950651685,3
Outer Mission,3,1,Entire guest suite,Entire home/apt,4,2,258.0,4115,5.556828061699537,4
South of Market,138,1,Entire rental unit,Entire home/apt,2,1,239.0,2540,5.480638923341991,0
Noe Valley,1,0,Entire home,Entire home/apt,8,6,600.0,1597,6.398594934535208,3
Downtown/Civic Center,46,1,Entire serviced apartment,Entire home/apt,3,1,99.0,2764,4.605170185988092,0
South of Market,138,1,Entire rental unit,Entire home/apt,2,1,274.0,2540,5.616771097666572,0
South of Market,138,1,Entire rental unit,Entire home/apt,2,1,237.0,2540,5.472270673671475,0
Noe Valley,1,1,Entire guest suite,Entire home/apt,3,2,155.0,4509,5.049856007249537,3
Nob Hill,55,1,Private room in home,Private room,1,1,47.0,1633,3.871201010907891,0
Outer Mission,3,1,Private room in home,Private room,3,2,71.0,2546,4.276666119016055,4
Bernal Heights,3,1,Private room in townhouse,Private room,3,2,68.0,2546,4.23410650459726,3
Castro/Upper Market,7,1,Entire rental unit,Entire home/apt,8,5,450.0,3590,6.111467339502679,1
Nob Hill,1,1,Entire rental unit,Entire home/apt,4,1,249.0,4371,5.521460917862246,0
Downtown/Civic Center,8,1,Entire condo,Entire home/apt,4,2,199.0,1739,5.298317366548036,0
Castro/Upper Market,1,1,Entire rental unit,Entire home/apt,4,2,543.0,1591,6.298949246855942,1
